term;uuid;concept;type;term_uuid;term_misspelled;version
accepterande;daa4aa62-755d-56c9-a066-3ecaf4b77ee5;Accepterande;FORMAGA;d45ee243-af74-5fb3-b15d-5668c98d0883;False;NARVALONTOLOGI-2.0.0.157
actionorienterad;671f9356-50b3-5b36-99c7-8fc4dcf03aeb;Actionorienterad;FORMAGA;10cc494d-8c76-51c8-946d-cb87c5e68c63;False;NARVALONTOLOGI-2.0.0.157
administrationsförmåga;bbf57ae3-b738-5956-9e49-543af6db74f8;Administrationsförmåga;FORMAGA;66924e6d-78a5-50bb-8dd2-f51447595263;False;NARVALONTOLOGI-2.0.0.157
administrativ;100f4f53-f0c8-5080-a96e-c0ea97941424;Administrativ;FORMAGA;6bcfc28e-1e5e-5873-8ab1-54a3e277ce7b;False;NARVALONTOLOGI-2.0.0.157
administrativ förmåga;100f4f53-f0c8-5080-a96e-c0ea97941424;Administrativ;FORMAGA;92ab135f-ed3c-537a-b4c7-b178db5691ce;False;NARVALONTOLOGI-2.0.0.157
affärsanalytisk;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;289455b5-8a2d-5218-b499-d19cc0b09a5b;False;NARVALONTOLOGI-2.0.0.157
affärsdriven;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;8abc84c1-cfab-56e2-a19c-27daf4b15f9d;False;NARVALONTOLOGI-2.0.0.157
affärsfokuserad;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;010c4c2a-053b-55a6-8854-4cfbb5d95f2d;False;NARVALONTOLOGI-2.0.0.157
affärsförståelse;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;fa198a5d-40ef-56c5-bb6a-94b9a4488d39;False;NARVALONTOLOGI-2.0.0.157
affärsinriktad;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;e1aabda2-fe94-50a3-ad44-3b0555d225ec;False;NARVALONTOLOGI-2.0.0.157
affärskännedom;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;5f4d8958-2721-5a01-b173-972a72b28df3;False;NARVALONTOLOGI-2.0.0.157
affärskänsla;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;883349b9-c645-57c6-8d5a-3405a8209667;False;NARVALONTOLOGI-2.0.0.157
affärsmannamässig;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;e3bae0ed-e1e5-5b45-9401-b921d7cc4065;False;NARVALONTOLOGI-2.0.0.157
affärsmannatänk;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;1ca42b13-da65-5781-b46a-02753596da28;False;NARVALONTOLOGI-2.0.0.157
affärsmedveten;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;24d85950-d60a-5a17-86b0-41a583e27bf8;False;NARVALONTOLOGI-2.0.0.157
affärsmässig;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;7f7a219c-0747-5428-9dd5-0e89fc20e827;False;NARVALONTOLOGI-2.0.0.157
affärsmässighet;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;3290f42d-ab9a-54f6-9c41-5d844b3d72ef;False;NARVALONTOLOGI-2.0.0.157
affärsnäsa;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;5156c334-ccf2-5da5-81e1-2c5ba53c806a;False;NARVALONTOLOGI-2.0.0.157
affärsorienterad;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;d8a6e513-fb58-54ab-a269-731217d1ae9d;False;NARVALONTOLOGI-2.0.0.157
affärssinnad;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;c455ac70-f3ac-5e10-bbe1-9472da9e925e;False;NARVALONTOLOGI-2.0.0.157
affärssinne;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;f6a89483-cc4d-5375-96ab-656dca75a688;False;NARVALONTOLOGI-2.0.0.157
affärstalang;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;648a23cd-4de5-58d2-afcc-60e204312a13;False;NARVALONTOLOGI-2.0.0.157
affärstänk;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;3908277a-e19d-5677-88a4-961943dfc3e0;False;NARVALONTOLOGI-2.0.0.157
affärstänkande;2c7619f9-de2b-5c57-8613-3301de33484e;Affärsmässig;FORMAGA;7a046649-66f8-5d48-97ca-2d13b11974f7;False;NARVALONTOLOGI-2.0.0.157
agera diplomatiskt;adb34444-6265-5261-ae64-371eda4a52b8;Agera diplomatiskt;FORMAGA;eddf1a4b-4468-5ca2-9a9e-2a3883e8409b;False;NARVALONTOLOGI-2.0.0.157
agera trovärdigt;55b0d012-a66c-5c28-97d4-061c1df145e3;Agera trovärdigt;FORMAGA;57c60da2-bb59-5981-872a-65af2c0ec9cd;False;NARVALONTOLOGI-2.0.0.157
aktivitetsinriktad;1ae1dc4f-4582-51b0-b602-c865cce8cbc5;Aktivitetsinriktad;FORMAGA;e1409da8-3209-59c9-b6d1-e03476df52df;False;NARVALONTOLOGI-2.0.0.157
ambition;db7fb10e-02cf-50e8-8bfc-26eb04c15cf0;Ambition;FORMAGA;83aebc77-07c9-5862-bf78-67a4db312115;False;NARVALONTOLOGI-2.0.0.157
ambitiös;db7fb10e-02cf-50e8-8bfc-26eb04c15cf0;Ambition;FORMAGA;bbb3d238-849f-58b5-b3e4-9f8093562260;False;NARVALONTOLOGI-2.0.0.157
analyserande;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;55caed5f-9d46-571b-aaaa-ac0ca7fc604a;False;NARVALONTOLOGI-2.0.0.157
analyseringsförmåga;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;28dfdfc8-f61e-5bda-8bb9-c20df9b67d57;False;NARVALONTOLOGI-2.0.0.157
analytisk;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;e04731a5-1884-5bea-a8ce-4bc3753c49e8;False;NARVALONTOLOGI-2.0.0.157
analytisk förmåga;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;29fc55dd-f387-5714-9a35-b54483374078;False;NARVALONTOLOGI-2.0.0.157
analytiskt lagd;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;a89803d4-6e6d-5cea-a416-01502de0fcc8;False;NARVALONTOLOGI-2.0.0.157
analytiskt sinnelag;2c60958e-56be-5fbd-9a1a-25d880ed6490;Analytisk;FORMAGA;5f7f10fc-94b2-5dc4-8c8f-324da8b85e72;False;NARVALONTOLOGI-2.0.0.157
anpassningsbar;93d96f9f-53d6-5c25-850f-ddfcc97bd3d3;Anpassningsbar;FORMAGA;c58adab1-9520-54e4-b3c3-9dbb37ff7b37;False;NARVALONTOLOGI-2.0.0.157
anpassningsförmåga;93d96f9f-53d6-5c25-850f-ddfcc97bd3d3;Anpassningsbar;FORMAGA;f8a1d9b3-b5af-57e7-a9e1-9f5a29520f6b;False;NARVALONTOLOGI-2.0.0.157
anspråkslös;4efec579-0b73-5ea7-bf13-b7b27b01406c;Anspråkslös;FORMAGA;152f1110-5dd8-54a5-bed6-a7fb43942335;False;NARVALONTOLOGI-2.0.0.157
ansvarsdriven;fabbe6f8-436d-5810-8e41-730429b9d3f7;Ansvarsmedveten;FORMAGA;1d9a4606-bb23-5331-bffb-766af6d15c40;False;NARVALONTOLOGI-2.0.0.157
ansvarsmedveten;fabbe6f8-436d-5810-8e41-730429b9d3f7;Ansvarsmedveten;FORMAGA;9ae1c2c6-bd3c-5bf4-bdc6-49bcf0f127dd;False;NARVALONTOLOGI-2.0.0.157
ansvarsfull;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;d5ed2cef-e13b-5677-9fcf-b463f9e4cb02;False;NARVALONTOLOGI-2.0.0.157
ansvarsfullhet;4017bbad-8daf-5a0c-855c-9395c12c21b9;Ansvarstagande;FORMAGA;c830d03e-8cdc-512e-b270-87822ca24dc7;False;NARVALONTOLOGI-2.0.0.157
