term;uuid;concept;type;term_uuid;term_misspelled;version
12-stegsbehandlare;fea83ded-6629-5ff9-a6b3-306fe3ec8f7c;12-stegsbehandlare;YRKE;13a79545-f3b8-5215-b1d7-41638fbf2c04;False;NARVALONTOLOGI-2.0.0.157
12-stegsterapeut;b45d2980-d591-57fd-9ed4-1b762faffea3;12-stegsterapeut;YRKE;d511be55-ccad-57f0-a974-39b1fcd6a526;False;NARVALONTOLOGI-2.0.0.157
12-stegsterapeuter;b45d2980-d591-57fd-9ed4-1b762faffea3;12-stegsterapeut;YRKE;97a7da7b-32da-5afd-a6ea-9f57e57acd87;False;NARVALONTOLOGI-2.0.0.157
1:a tandsköterska;ffa1095a-191c-5b34-aff9-06ae9bf4fe93;1:a tandsköterska;YRKE;cf0d37cf-7e12-58e8-9e7d-659a0a5594d5;False;NARVALONTOLOGI-2.0.0.157
1:e antikvarie;eac57f26-87bc-53a7-92b0-8c7dbcb85f0b;1:e antikvarie;YRKE;082c5971-ad83-5ab5-bad3-6c33c0c57708;False;NARVALONTOLOGI-2.0.0.157
1:e fartygsingenjör;9eeccfce-2291-5da2-a876-ff7febc6cb95;1:e fartygsingenjör;YRKE;325710cf-3c95-5c82-ab79-2b6f0616d047;False;NARVALONTOLOGI-2.0.0.157
1:e kock;4b02b92b-1efa-583f-8bb1-866d52b6dc94;1:e kock;YRKE;f7a51d1b-bbd6-5b11-b2ba-8cf1aeb6331d;False;NARVALONTOLOGI-2.0.0.157
1:e maskinist;84630747-74b2-5643-8235-f645bf3165a5;1:e maskinist;YRKE;c021e619-8bb6-55b0-8d38-3ea7d6c81819;False;NARVALONTOLOGI-2.0.0.157
1:e socialsekreterare;42de6120-4f79-5f52-a8cc-77cd00e1eedd;1:e socialsekreterare;YRKE;9f2aa746-4534-5ad1-b6aa-12b86451dc7e;False;NARVALONTOLOGI-2.0.0.157
2:e fartygsingenjör;203bf282-bc0e-5893-b267-93f37a3f188b;2:e fartygsingenjör;YRKE;dd1e4776-5d72-5f3b-9e89-bb8fac37ee8e;False;NARVALONTOLOGI-2.0.0.157
